soc,power,current,ocv,ir0,c_rate,line_voltage,power_out,deltaP,converged,iterations,error
1e-06,-100,-25.925925925925927,2.60711586998087,0.010182801539713493,4.577662782325182,2.8711144284178864,-74.43629999601929,-25.563700003980713,True,7,
1e-06,-75,-25.925925925925927,2.60711586998087,0.008903641179440517,3.5661033782705935,2.8379510116700684,-73.57650770996474,-1.4234922900352558,True,5,
1e-06,-50,-18.02587371726888,2.60711586998087,0.009246419009585585,2.4359288807120105,2.773790651384614,-50.000000000000036,3.552713678800501e-14,True,5,
1e-06,-25,-9.23552398759755,2.60711586998087,0.01080860412992456,1.2480437821077768,2.706938992695234,-24.999999999999982,-1.7763568394002505e-14,True,4,
1e-06,0,0.0,2.60711586998087,0.009638506441445486,0.0,2.60711586998087,0.0,0.0,True,1,
1e-06,25,10.000149529640812,2.60711586998087,0.01071516495973351,1.351371558059569,2.4999626181487673,25.000000000000007,-7.105427357601002e-15,True,4,
1e-06,50,20.629988551297,2.60711586998087,0.008892862589838816,2.7878362907158105,2.423656216564238,50.00000000000003,-2.842170943040401e-14,True,5,
1e-06,75,32.90472393560438,2.60711586998087,0.009962335072188135,4.446584315622213,2.27930798467653,75.0,0.0,True,8,
1e-06,100,55.69979637807716,2.60711586998087,0.014574149693906795,7.526999510550967,1.7953386996466458,100.0,0.0,True,8,
1e-06,125,,2.60711586998087,0.014534899362917728,7.778044925047801,,,,False,4,No solution exists for discriminant 
1e-06,150,,2.60711586998087,0.013068595639997072,6.097902333410853,,,,False,7,No solution exists for discriminant 
1e-06,175,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,200,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,225,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,250,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,275,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,300,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,325,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,350,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,375,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,400,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,425,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,450,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,475,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,500,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,525,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,550,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,575,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,600,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,625,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,650,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,675,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,700,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,725,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,750,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,775,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,800,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,825,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,850,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,875,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,900,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,925,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,950,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,975,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1000,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1025,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1050,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1075,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1100,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1125,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1150,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1175,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1200,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1225,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1250,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1275,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1300,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1325,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1350,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1375,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1400,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1425,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1450,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1475,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1500,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
1e-06,1525,,2.60711586998087,0.01094933444379021,1.0,,,,False,1,No solution exists for discriminant 
0.025642,-100,-25.925925925925927,2.9186791508459864,0.008710875340060185,4.234074681516932,3.1445166596623615,-81.52450599124641,-18.475494008753586,True,6,
0.025642,-75,-24.137879131709504,2.9186791508459864,0.007808075698815218,3.261875558339122,3.1071495383152263,-74.99999999999991,-8.526512829121202e-14,True,4,
0.025642,-50,-16.336699728600067,2.9186791508459864,0.008686854450284566,2.2076621254864954,3.0605936835863385,-50.000000000000014,1.4210854715202004e-14,True,5,
0.025642,-25,-8.32448794407097,2.9186791508459864,0.010151804345818765,1.1249308032528338,3.0031877237333218,-24.999999999999975,-2.4868995751603507e-14,True,3,
0.025642,0,0.0,2.9186791508459864,0.008739684096666752,0.0,2.9186791508459864,0.0,0.0,True,1,
0.025642,25,8.835789168465945,2.9186791508459864,0.010104032320159245,1.1940255633062087,2.8294020515136933,25.000000000000014,-1.4210854715202004e-14,True,4,
0.025642,50,18.063419270664554,2.9186791508459864,0.008340277893110414,2.4410026041438586,2.7680252144288784,49.999999999999986,1.4210854715202004e-14,True,5,
0.025642,75,27.85086971917548,2.9186791508459864,0.0081062115707627,3.7636310431318214,2.6929141084726016,75.00000000000001,-1.4210854715202004e-14,True,6,
0.025642,100,40.524862796285156,2.9186791508459864,0.011130406875731138,5.476332810308804,2.4676209393401534,100.00000000000001,-1.4210854715202004e-14,True,10,
0.025642,125,59.58805309671121,2.9186791508459864,0.013776976723391893,8.052439607663676,2.097735930340356,125.00000000000001,-1.4210854715202004e-14,True,14,
0.025642,150,,2.9186791508459864,0.004953426158564876,7.687147483753471,,,,False,50,Failed to converge after 50 iterations
0.025642,175,,2.9186791508459864,0.013554388944310438,6.834775793883748,,,,False,3,No solution exists for discriminant 
0.025642,200,,2.9186791508459864,0.012234688166741406,6.015128526019332,,,,False,5,No solution exists for discriminant 
0.025642,225,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,250,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,275,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,300,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,325,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,350,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,375,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,400,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,425,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,450,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,475,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,500,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,525,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,550,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,575,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,600,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,625,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,650,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,675,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,700,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,725,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,750,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,775,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,800,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,825,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,850,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,875,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,900,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,925,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,950,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,975,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1000,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1025,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1050,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1075,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1100,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1125,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1150,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1175,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1200,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1225,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1250,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1275,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1300,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1325,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1350,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1375,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1400,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1425,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1450,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1475,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1500,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.025642,1525,,2.9186791508459864,0.010209395596289897,1.0,,,,False,1,No solution exists for discriminant 
0.051283,-100,-25.925925925925927,3.0951714147948897,0.00756016907003279,4.067025226191362,3.291175798092036,-85.32677995053427,-14.673220049465726,True,6,
0.051283,-75,-23.049954041211826,3.0951714147948897,0.006882060069945519,3.114858654217814,3.253802583115993,-74.99999999999997,-2.842170943040401e-14,True,4,
0.051283,-50,-15.528019020346864,3.0951714147948897,0.008038007738998983,2.0983809486955223,3.219985751851761,-50.00000000000004,4.263256414560601e-14,True,5,
