soc,power,ocv,line_voltage,c_rate,current,ir0
1e-06,-100,2.60711586998087,2.8711144284178864,4.577662782325182,-25.925925925925927,0.010182801539713493
1e-06,-75,2.60711586998087,2.8379510116700684,3.5661033782705935,-25.925925925925927,0.008903641179440517
1e-06,-50,2.60711586998087,2.773790651384614,2.4359288807120105,-18.02587371726888,0.009246419009585585
1e-06,-25,2.60711586998087,2.706938992695234,1.2480437821077768,-9.23552398759755,0.01080860412992456
1e-06,0,2.60711586998087,2.60711586998087,0.0,0.0,0.009638506441445486
1e-06,25,2.60711586998087,2.4999626181487673,1.351371558059569,10.000149529640812,0.01071516495973351
1e-06,50,2.60711586998087,2.423656216564238,2.7878362907158105,20.629988551297,0.008892862589838816
1e-06,75,2.60711586998087,2.27930798467653,4.446584315622213,32.90472393560438,0.009962335072188135
1e-06,100,2.60711586998087,1.7953386996466458,7.526999510550967,55.69979637807716,0.014574149693906795
1e-06,125,2.60711586998087,1.0,7.778044925047801,1e-06,0.014534899362917728
1e-06,150,2.60711586998087,1.0,6.097902333410853,1e-06,0.013068595639997072
1e-06,175,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,200,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,225,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,250,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,275,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,300,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,325,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,350,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,375,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,400,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,425,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,450,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,475,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,500,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,525,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,550,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,575,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,600,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,625,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,650,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,675,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
1e-06,700,2.60711586998087,1.0,1.0,1e-06,0.01094933444379021
