soc,power,current,ocv,ir0,c_rate,line_voltage,power_out,deltaP,converged,iterations,error
1e-06,-100,-25.925925925925927,2.9399999999999995,0.021886956036751552,0.8445915405123402,3.5074396009528175,-90.93361928396195,-9.066380716038054,True,3,
1e-06,-75,-21.933437540806697,2.9399999999999995,0.021858709587063256,0.6586617880122132,3.419436641450484,-75.00000000000001,1.4210854715202004e-14,True,3,
1e-06,-50,-15.273273182105777,2.9399999999999995,0.021848133320754907,0.45865685231548886,3.273692508726957,-50.000000000000014,1.4210854715202004e-14,True,3,
1e-06,-25,-8.024520270750786,2.9399999999999995,0.021864364623995398,0.24097658470723082,3.115451037132337,-24.999999999999996,-3.552713678800501e-15,True,3,
1e-06,0,0.0,2.9399999999999995,0.02192190592169131,0.0,2.9399999999999995,0.0,0.0,True,1,
1e-06,25,9.12211740758302,2.9399999999999995,0.021859860959072726,0.27393745968717775,2.7405917818178978,25.000000000000007,-7.105427357601002e-15,True,3,
1e-06,50,19.97160353931835,2.9399999999999995,0.021853297590562534,0.5997478540335842,2.5035546044945436,49.999999999999986,1.4210854715202004e-14,True,3,
1e-06,75,34.27056774530562,2.9399999999999995,0.021929405945102096,1.0291461785377063,2.1884668079440703,75.0,0.0,True,4,
1e-06,100,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,125,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,150,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,175,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,200,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,225,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,250,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,275,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,300,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,325,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,350,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,375,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,400,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,425,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,450,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,475,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,500,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,525,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,550,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,575,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,600,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,625,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,650,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,675,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,700,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,725,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,750,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,775,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,800,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,825,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,850,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,875,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,900,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,925,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,950,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
1e-06,975,,2.9399999999999995,0.021921871403644978,1.0,,,,False,1,No solution exists for discriminant 
