soc,power,ocv,line_voltage,c_rate,current,ir0
1e-06,-100,2.60711586998087,2.8578773559458037,4.864884923958625,-25.925925925925927,0.009672228744361739
1e-06,-75,2.60711586998087,2.825715546338755,3.785258993198904,-25.925925925925927,0.008431701802375569
1e-06,-50,2.60711586998087,2.7651145071543537,2.58320482727785,-18.08243379094495,0.008737686475180338
1e-06,-25,2.60711586998087,2.7017090390292355,1.321914580672922,-9.253402064710453,0.01022252879393557
1e-06,0,2.60711586998087,2.60711586998087,0.0,0.0,0.00911753976340771
1e-06,25,2.60711586998087,2.505966993163761,1.4251698371013557,9.97618885970949,0.010139029867970484
1e-06,50,2.60711586998087,2.4341506305970313,2.93443513851285,20.541045969589952,0.008420468930350733
1e-06,75,2.60711586998087,2.3023476471080544,4.653635052787868,32.57544536951507,0.009355765344593737
1e-06,100,2.60711586998087,1.8797154081645533,7.599934662270797,53.199542635895575,0.01367305855982142
0.025642,-100,2.9186791508459864,3.1329715488803855,4.4941886732895835,-25.925925925925927,0.008265563924183972
0.025642,-75,2.9186791508459864,3.097555056453431,3.458949241907295,-24.212644693351066,0.007387706211893709
0.025642,-50,2.9186791508459864,3.053119242158134,2.339527734202782,-16.376694139419474,0.008209232594052306
0.025642,-25,2.9186791508459864,2.9987305706156313,1.1909801455405062,-8.336861018783544,0.009602105587376753
0.025642,0,2.9186791508459864,2.9186791508459864,0.0,0.0,0.008267236620694255
0.025642,25,2.9186791508459864,2.834362124534493,1.2600466752338964,8.820326726637274,0.00955939943322701
0.025642,50,2.9186791508459864,2.7764271597784447,2.5726794660181684,18.00875626212718,0.007899045830649664
0.025642,75,2.9186791508459864,2.7066904744699514,3.958445125271993,27.70911587690395,0.007650503080566769
0.025642,100,2.9186791508459864,2.5048393120136376,5.7032457999192046,39.922720599434435,0.010366022971846554
0.025642,125,2.9186791508459864,2.1529627340549276,8.294218276370444,58.059527934593106,0.013188471281641766
0.051283,-100,3.0951714147948897,3.281062913791849,4.313735240222448,-25.925925925925927,0.007170100675596992
0.051283,-75,3.0951714147948897,3.2455829728648458,3.3011898952712118,-23.108329266898483,0.006508975890585611
0.051283,-50,3.0951714147948897,3.213370809935915,2.2228549287779202,-15.559984501445442,0.007596369721965038
0.051283,-25,3.0951714147948897,3.165797980346168,1.1281290194764897,-7.896903136335427,0.008943577543240978
0.051283,0,3.0951714147948897,3.0951714147948897,0.0,0.0,0.007443449320197145
0.051283,25,3.0951714147948897,3.0213929866850116,1.182047018434048,8.274329129038335,0.008916545010393255
0.051283,50,3.0951714147948897,2.9720187868753816,2.403368772229986,16.823581405609904,0.007320238476597051
0.051283,75,3.0951714147948897,2.92669019572079,3.66088823817137,25.62621766719959,0.006574564427030059
0.051283,100,3.0951714147948897,2.791242313709671,5.118048768302026,35.826341378114186,0.008483397673168068
0.051283,125,3.0951714147948897,2.479909860608389,7.200722550763201,50.405057855342406,0.012206345560642764
0.076924,-100,3.1878008508191624,3.350121322866449,4.23481428836537,-25.925925925925927,0.0062609324932524765
0.076924,-75,3.1878008508191624,3.3169173201590363,3.2301937854067453,-22.61135649784722,0.005710248712949486
0.076924,-50,3.1878008508191624,3.293356439676252,2.1688685308412334,-15.182079715888634,0.006952643566126292
0.076924,-25,3.1878008508191624,3.251590992451396,1.0983634103181132,-7.688543872226792,0.008296777997542795
0.076924,0,3.1878008508191624,3.1878008508191624,0.0,0.0,0.006666393367716416
0.076924,25,3.1878008508191624,3.1215119520910948,1.1441341972232646,8.008939380562852,0.008276863586824775
0.076924,50,3.1878008508191624,3.0789489420630085,2.3199011342069125,16.239307939448388,0.006702989386125994
0.076924,75,3.1878008508191624,3.047438234069878,3.5158335924586424,24.610835147210498,0.005703285398878224
0.076924,100,3.1878008508191624,2.9421132034828124,4.855596402206126,33.98917481544289,0.007228408711609043
0.076924,125,3.1878008508191624,2.6859842342442337,6.648267934516523,46.53787554161566,0.010782972164816338
0.076924,150,3.1878008508191624,2.4785158181628586,8.645727120860117,60.52008984602082,0.011719827820165394
0.102565,-100,3.2477647115702677,3.3895478507481536,4.191543234872479,-25.925925925925927,0.005468778225432744
0.102565,-75,3.2477647115702677,3.3592281284603804,3.1895082157448917,-22.326557510214244,0.004992413937487631
0.102565,-50,3.2477647115702677,3.342672498809246,2.136870167628335,-14.958091173398342,0.006344913006531457
0.102565,-25,3.2477647115702677,3.305937367680712,1.080307390679371,-7.562151734755597,0.007692606304510287
0.102565,0,3.2477647115702677,3.2477647115702677,0.0,0.0,0.005956281617116277
0.102565,25,3.2477647115702677,3.1875527011617875,1.1204296544263779,7.8430075809846445,0.007677158256797347
0.102565,50,3.2477647115702677,3.1506708417475986,2.267090883697383,15.869636185881681,0.0061182164912544
0.102565,75,3.2477647115702677,3.129093735944274,3.424085891454591,23.968601240182135,0.004951101419595891
0.102565,100,3.2477647115702677,3.043381223218713,4.694027214443271,32.8581905011029,0.006220168707850621
