soc,power,ocv,line_voltage,c_rate,current,ir0
1e-06,-100,2.5,3.1767254974824843,5.281735467537292,-25.925925925925927,0.026102269188610108
1e-06,-75,2.5,3.1262116589408984,4.172295315822746,-23.990698065980787,0.026102269188610108
1e-06,-50,2.5,2.9434029229425898,2.954285363425473,-16.98714083969647,0.026102269188610108
1e-06,-25,2.5,2.738306665212265,1.5877790980067212,-9.129729813538647,0.02610226918861011
1e-06,0,2.5,2.5,0.0,0.0,0.026102269188610104
1e-06,25,2.5,2.203909466503372,1.972778897245083,11.343478659159228,0.026102269188610104
1e-06,50,2.5,1.757332771038393,4.948210331714725,28.452209407359668,0.026102269188610108
1e-06,75,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,100,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,125,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,150,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,175,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,200,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,225,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,250,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,275,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,300,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,325,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,350,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,375,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,400,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,425,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,450,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,475,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,500,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,525,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,550,2.5,1.0,1.0,1e-06,0.026102269188610104
1e-06,575,2.5,1.0,1.0,1e-06,0.026102269188610104
