DISA,Altitude,Mach,FRAC,power_kW,FuelFlow_kgph,JetThrust_N
0,0.0,0.0,0.0,0.0,121.2605284000726,0.0
0,0.0,0.0,0.5,480.03958053040003,230.3243939025674,501.51623465143206
0,0.0,0.0,0.6,576.0556404350001,247.3470268040461,557.302931893092
0,0.0,0.0,0.7,672.0768093952,265.9774745734374,617.79049201716
0,0.0,0.0,0.8,768.0779934630001,284.9554324697451,681.98945385648
0,0.0,0.0,0.9,864.0814825962001,304.0663986733194,746.7507338685241
0,0.0,0.0,1.0,960.1016996604001,323.0268813431915,812.8697449608121
0,0.0,0.05,0.0,0.0,122.0368732760592,0.0
0,0.0,0.05,0.5,480.04899691540004,230.2699541721855,436.01139819098404
0,0.0,0.05,0.6,576.0535872938001,247.2955428866007,488.23933705562405
0,0.0,0.05,0.7,672.0606312662001,265.9224781134899,545.206284958104
0,0.0,0.05,0.8,768.0872096216001,284.8984088592035,605.8955460594962
0,0.0,0.05,0.9,864.0853894728,304.00789013871,667.381927740066
0,0.0,0.05,1.0,960.0996957552002,322.9608911117663,730.326240214956
0,0.0,0.1,0.0,0.0,121.0471961803502,0.0
0,0.0,0.1,0.5,480.0646236012,230.1234828340742,370.573978063212
0,0.0,0.1,0.6,576.0646555466001,247.1412048193777,419.215644975666
0,0.0,0.1,0.7,672.0702478776001,265.7580318958541,472.67901333576003
0,0.0,0.1,0.8,768.0893128194001,284.7379603341196,529.8641273018941
0,0.0,0.1,0.9,864.0793785778001,303.8352483004627,588.07296840831
0,0.0,0.1,1.0,960.1097128194001,322.7720021270072,647.851497388326
0,0.0,0.15,0.0,0.0,123.3038587718407,0.0
0,0.0,0.15,0.5,480.040131153,229.834823700626,305.04295404198
0,0.0,0.15,0.6,576.0526353978,246.8670510642293,350.218571044188
0,0.0,0.15,0.7,672.0558734274,265.4835071436088,400.1374393516501
0,0.0,0.15,0.8,768.0780443402001,284.4757711183889,453.820759735728
0,0.0,0.15,0.9,864.1034196960001,303.5398213939944,508.76534487702
0,0.0,0.15,1.0,960.0958898124,322.4487916081829,565.330241304444
0,0.0,0.2,0.0,0.0,120.9681569564547,0.0
0,0.0,0.2,0.5,480.05004810400004,229.4699089911095,239.52480850729202
0,0.0,0.2,0.6,576.0382609476001,246.4553495505761,281.125314586116
0,0.0,0.2,0.7,672.0591287476,265.1093263956274,327.58332450089404
0,0.0,0.2,0.8,768.0452375728,284.1107562911186,377.68167937500004
0,0.0,0.2,0.9,864.0512311772001,303.1294050367413,429.4194969016261
0,0.0,0.2,1.0,960.0749538446001,321.9910027111495,482.7451897389661
0,0.0,0.25,0.0,0.0,121.1087601778101,0.0
0,0.0,0.25,0.5,480.0591140928001,228.9730002513835,173.818119385218
0,0.0,0.25,0.6,576.0618507358,245.9348551265536,211.89546396757203
0,0.0,0.25,0.7,672.0641376899999,264.6387453502677,254.88884295428403
0,0.0,0.25,0.8,768.0808992076,283.7130183970789,301.512399159048
0,0.0,0.25,0.9,864.0882943968002,302.6191329160845,349.920144412608
0,0.0,0.25,1.0,960.1013993208,321.4459508992108,400.1482627605541
0,0.0,0.3,0.0,0.0,126.2657793592489,0.0
0,0.0,0.3,0.5,480.05230229220007,228.3359168317155,107.89536331450802
0,0.0,0.3,0.6,576.0668596782,245.360905775288,142.54150623174002
0,0.0,0.3,0.7,672.053268843,264.049005464302,182.06773437375602
0,0.0,0.3,0.8,768.0744878598001,283.1571155048535,225.254119402158
0,0.0,0.3,0.9,864.0651542974001,301.9941562591854,270.30876572700004
0,0.0,0.3,1.0,960.0919829358,320.7799984784542,317.334109182552
0,0.0,0.35,0.0,4.3782448314,121.5728452651728,0.0
0,0.0,0.35,0.5,480.05876287600006,227.4922114210288,41.78471443099801
0,0.0,0.35,0.6,576.0417164942,244.6155141274608,72.880950484188
0,0.0,0.35,0.7,672.0728024054,263.3098384272884,109.11219925036201
0,0.0,0.35,0.8,768.0848052636002,282.413323401887,148.84819699596002
0,0.0,0.35,0.9,864.0795788042,301.3201513768485,190.58270392299602
0,0.0,0.35,1.0,960.0972922178,320.0039109144516,234.30030205612803
0,0.0,0.4,0.0,9.3106646402,122.0375296555384,0.0
0,0.0,0.4,0.5,480.0552572728001,226.4505792930237,0.0
0,0.0,0.4,0.6,576.0627025186001,243.7683822568266,2.9802784865700005
0,0.0,0.4,0.7,672.0567752668,262.3736447970607,35.716309919136
0,0.0,0.4,0.8,768.0873597914001,281.5818108365237,72.22336478372401
0,0.0,0.4,0.9,864.1013164981999,300.5701912717046,110.74808019613802
0,0.0,0.4,1.0,960.1086115742002,319.1313365026763,151.12008043393803
0,0.0,0.45,0.0,14.780635711600002,122.6920602312438,0.0
0,0.0,0.45,0.5,480.02670859880004,225.2663879047446,0.0
0,0.0,0.45,0.6,576.0518837282,242.7232810954368,-67.310574466212
0,0.0,0.45,0.7,672.0376421572,261.298760475279,-38.033630145126004
0,0.0,0.45,0.8,768.0631685034001,280.556126437449,-4.765147668204
0,0.0,0.45,0.9,864.0768749272,299.5576994919713,30.559337233656002
0,0.0,0.45,1.0,960.0794614004001,318.2209274046085,67.697061174666
0,0.0,0.5,0.0,20.647065722800004,123.4533855728023,0.0
0,0.0,0.5,0.5,480.0469930102,223.9101834551393,0.0
0,0.0,0.5,0.6,576.0695143192,241.4052252527443,-138.055482144426
0,0.0,0.5,0.7,672.0629855676,260.0893553196045,-112.250801896926
0,0.0,0.5,0.8,768.0826019526,279.3165390538873,-82.275615589398
0,0.0,0.5,0.9,864.0720662112001,298.4528041717319,-49.907369658762
0,0.0,0.5,1.0,960.0951881994,317.1235993958995,-15.891411406794003
0,0.0,0.55,0.0,27.281484606200003,124.3386950564275,0.0
0,0.0,0.55,0.5,480.03882886080015,222.3182737427198,0.0
0,0.0,0.55,0.6,576.0448224652,239.8613018861472,-209.43423448332
0,0.0,0.55,0.7,672.0448544106001,258.6194461077746,-187.027042841562
0,0.0,0.55,0.8,768.0693287476,277.9125905995646,-160.33895811225602
0,0.0,0.55,0.9,864.0813824830002,297.0539958751701,-131.072988884376
0,0.0,0.55,1.0,960.0830679374,315.8688497867187,-99.88335444549
0,761.9999756160008,0.0,0.0,0.0,112.5420545154677,0.0
0,761.9999756160008,0.0,0.5,480.0431361902,217.6381177617709,485.569199143182
0,761.9999756160008,0.0,0.6,576.0667095084001,235.1108871018779,545.647764565596
0,761.9999756160008,0.0,0.7,672.0649385956001,253.8116933245033,608.961384278478
0,761.9999756160008,0.0,0.8,768.0782946232001,272.7980751473283,674.072531472648
0,761.9999756160008,0.0,0.9,864.0920002264002,291.8720628117572,740.0639418156602
0,761.9999756160008,0.0,1.0,960.1118168378,311.6292498174726,808.960669241802
0,761.9999756160008,0.05,0.0,0.0,112.5682675890411,0.0
0,761.9999756160008,0.05,0.5,480.0486957552001,217.5914310753878,424.12253428452607
0,761.9999756160008,0.05,0.6,576.0635543014,235.0625012207203,480.500105492022
0,761.9999756160008,0.05,0.7,672.0914841850001,253.7487019472921,540.2792363162041
0,761.9999756160008,0.05,0.8,768.0801975946001,272.7413944634854,602.0317896954901
0,761.9999756160008,0.05,0.9,864.1153405522001,291.7967354301914,664.988491352724
0,761.9999756160008,0.05,1.0,960.1137198092001,311.5229406695092,730.795042568976
0,761.9999756160008,0.1,0.0,0.0,112.6678880289395,0.0
0,761.9999756160008,0.1,0.5,480.05305314120017,217.4506851628414,362.691659272404
0,761.9999756160008,0.1,0.6,576.0832372130001,234.9201131898758,415.37503759336204
0,761.9999756160008,0.1,0.7,672.0924861376001,253.6081843406514,471.6269505892562
0,761.9999756160008,0.1,0.8,768.1032367602,272.5924243920893,530.043687264168
0,761.9999756160008,0.1,0.9,864.1076269122001,291.6422546717772,589.772307215784
